dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,10.0,0.25,511,0.25159929220594585,0.22774402083293963,0.27674800658680304,9.999000099990002e-05,6.379684940369297e-62,24.853228962818,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,10.0,0.5,511,0.24934747357447945,0.2272232888605198,0.2724094370784684,9.999000099990002e-05,1.4357036944560044e-67,17.22113502935421,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,10.0,1.0,511,0.35324135964057685,0.33846522177539795,0.3678669346526489,9.999000099990002e-05,2.93960209847533e-85,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.8,10.0,2.0,511,0.7789392016984973,0.7552472470451923,0.8035825117478738,9.999000099990002e-05,2.978078607461349e-85,0.19569471624266144,
Cross-Cultural,paired_unit,s1_reverse,,1.0,0.25,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s1_reverse,,1.0,0.5,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s1_reverse,,1.0,1.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s1_reverse,,1.0,2.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s1_reverse,,2.0,0.25,1200,0.02720833333333333,0.020666145833333333,0.033979166666666664,9.999000099990002e-05,4.593820038191103e-06,37.0,
Cross-Cultural,paired_unit,s1_reverse,,2.0,0.5,1200,0.027916666666666666,0.022041666666666668,0.033874999999999995,9.999000099990002e-05,1.1094846867512083e-15,30.083333333333336,
Cross-Cultural,paired_unit,s1_reverse,,2.0,1.0,1200,0.029333333333333336,0.021916666666666664,0.03691666666666667,9.999000099990002e-05,6.066468162474939e-13,25.666666666666664,
Cross-Cultural,paired_unit,s1_reverse,,2.0,2.0,1200,0.03216666666666667,0.016497916666666668,0.04791666666666667,0.00019998000199980003,0.00012176638503933101,31.166666666666664,
Cross-Cultural,paired_unit,s1_reverse,,3.0,0.25,1200,0.06877083333333334,0.0564578125,0.08116718749999999,9.999000099990002e-05,1.7931840816531037e-09,39.08333333333333,
Cross-Cultural,paired_unit,s1_reverse,,3.0,0.5,1200,0.070125,0.059166666666666666,0.08116666666666666,9.999000099990002e-05,2.3763453351326728e-26,32.58333333333333,9.999000099990002e-05
Cross-Cultural,paired_unit,s1_reverse,,3.0,1.0,1200,0.07283333333333333,0.061500000000000006,0.08399999999999999,9.999000099990002e-05,4.700158043279773e-33,25.416666666666664,
Cross-Cultural,paired_unit,s1_reverse,,3.0,2.0,1200,0.07825,0.05841666666666667,0.09808333333333334,9.999000099990002e-05,2.1578287946759442e-13,32.25,
