dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_audio,s1_reverse,,10.0,2.0,76,0.20289900296238614,0.1735748792270531,0.1265796583330626,0.28092857950453093,0.0,6.577909810651301e-06,0.0001206291159979032,55,21,0,27.631578947368425,
MDPE,OADNet_text,s1_reverse,,1.0,0.25,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s1_reverse,,1.0,0.5,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s1_reverse,,1.0,1.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s1_reverse,,1.0,2.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,s1_reverse,,2.0,0.25,191,0.0036502200470445406,-5.551115123125783e-18,-0.0010329880871082777,0.008398493815919261,0.1393,0.37347156074810184,0.7169046430967033,92,98,1,51.30890052356021,
MDPE,OADNet_text,s1_reverse,,2.0,0.5,191,0.0025940890811138938,-0.004166666666666641,-0.0010907978602321888,0.006378518855755368,0.1691,0.524418676720248,0.6098003976284782,90,98,3,51.30890052356021,
MDPE,OADNet_text,s1_reverse,,2.0,1.0,191,0.0004818271492525973,0.0,-0.003998880795204494,0.004841082403824262,0.832,0.7547960380496145,1.0,92,91,8,47.64397905759162,
MDPE,OADNet_text,s1_reverse,,2.0,2.0,191,-0.0037426967144699925,-0.008333333333333349,-0.015043108354199869,0.007286212914485164,0.5121,0.5418127791644758,0.21246829351544083,84,102,5,53.403141361256544,
MDPE,OADNet_text,s1_reverse,,3.0,0.25,191,0.03025599438500645,0.022916666666666675,0.02167393438424766,0.0390882867630321,0.0,6.827664000447447e-09,3.1079427703886866e-05,124,66,1,34.55497382198953,
