dataset,n_units,effect,ci_lo,ci_hi,p_signflip,p_signflip_holm,holm_family
OpenDeception_fixed,511,-0.0616864989761271,-0.06846457996776,-0.0548892772263613,9.999000099990002e-05,0.00019998000199980003,OpenDeception_fixed + CrossCultural_fixed
CrossCultural_fixed,1200,-0.03154166666666666,-0.04241770833333334,-0.02129062500000001,0.00019998000199980003,0.00019998000199980003,OpenDeception_fixed + CrossCultural_fixed
