C_rev,alpha_lie,alpha_total,alpha_truth,auto_rate,cost_decomp_residual,coverage,err_per_auto,expected_cost,fn_rate,fold,fp_rate,k_lie,k_truth,method,n_fn,n_fp,n_lie,n_lie_calib,n_reject,n_singleton,n_test,n_truth,n_truth_calib,qhat_lie,qhat_truth,r,reject_rate,seed
0.5,0.03333333333333333,0.1,0.1,0.20955882352941177,0.0,0.9360294117647059,0.30526315789473685,0.48713235294117646,0.027259684361549498,0,0.10256410256410256,199,185,cs_mondrian,19,68,697,204,1075,285,1360,663,204,0.727548178333604,0.6477228193104739,3.0,0.7904411764705882,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.5088235294117647,0.058823529411764705,0,0.10256410256410256,185,185,mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,3.0,0.736764705882353,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.4485294117647059,0.058823529411764705,0,0.10256410256410256,185,185,cs_mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,1.0,0.736764705882353,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.4485294117647059,0.058823529411764705,0,0.10256410256410256,185,185,mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,1.0,0.736764705882353,7
0.5,0.05,0.1,0.1,0.21838235294117647,0.0,0.9323529411764706,0.30976430976430974,0.47610294117647056,0.03443328550932568,0,0.10256410256410256,195,185,cs_mondrian,24,68,697,204,1063,297,1360,663,204,0.7113179105833778,0.6477228193104739,2.0,0.7816176470588235,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.4786764705882353,0.058823529411764705,0,0.10256410256410256,185,185,mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,2.0,0.736764705882353,7
0.5,0.02,0.1,0.1,0.19411764705882353,0.0,0.9411764705882353,0.30303030303030304,0.4970588235294118,0.01721664275466284,0,0.10256410256410256,201,185,cs_mondrian,12,68,697,204,1096,264,1360,663,204,0.7522339968145033,0.6477228193104739,5.0,0.8058823529411765,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.5691176470588235,0.058823529411764705,0,0.10256410256410256,185,185,mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,5.0,0.736764705882353,7
0.5,0.01,0.1,0.1,0.18676470588235294,0.0,0.9433823529411764,0.3031496062992126,0.5227941176470589,0.01291248206599713,0,0.10256410256410256,203,185,cs_mondrian,9,68,697,204,1106,254,1360,663,204,0.7597343078153077,0.6477228193104739,10.0,0.8132352941176471,7
0.5,0.1,0.1,0.1,0.26323529411764707,0.0,0.9198529411764705,0.30446927374301674,0.7198529411764706,0.058823529411764705,0,0.10256410256410256,185,185,mondrian,41,68,697,204,1002,358,1360,663,204,0.6740679862071297,0.6477228193104739,10.0,0.736764705882353,7
0.5,0.03333333333333333,0.1,0.1,0.21545319465081725,0.0,0.9383358098068351,0.28620689655172415,0.4851411589895988,0.030434782608695653,0,0.09451219512195122,199,185,cs_mondrian,21,62,690,204,1056,290,1346,656,204,0.7187915074490363,0.663096973431724,3.0,0.7845468053491828,42
0.5,0.1,0.1,0.1,0.3491827637444279,0.0,0.887815750371471,0.32127659574468087,0.5698365527488856,0.1289855072463768,0,0.09451219512195122,185,185,mondrian,89,62,690,204,876,470,1346,656,204,0.6185494435698531,0.663096973431724,3.0,0.6508172362555721,42
0.5,0.1,0.1,0.1,0.3491827637444279,0.0,0.887815750371471,0.32127659574468087,0.437592867756315,0.1289855072463768,0,0.09451219512195122,185,185,cs_mondrian,89,62,690,204,876,470,1346,656,204,0.6185494435698531,0.663096973431724,1.0,0.6508172362555721,42
0.5,0.1,0.1,0.1,0.3491827637444279,0.0,0.887815750371471,0.32127659574468087,0.437592867756315,0.1289855072463768,0,0.09451219512195122,185,185,mondrian,89,62,690,204,876,470,1346,656,204,0.6185494435698531,0.663096973431724,1.0,0.6508172362555721,42
