method,mean_err_per_auto,mean_auto_rate,mean_cost_per_sample,all_reject_cost,mean_C_rev_all_reject_star,C_rev_CS_vs_M_star_mean,C_rev_CS_vs_M_star_undefined_runs
cs_mondrian,0.31834816175243486,0.22287939934737705,0.4911663107175528,0.5,0.45719530447809403,1.0880363169886955,0
mondrian,0.33217536339902265,0.32644646169561725,0.5520955798635936,0.5,0.657377369758493,1.0880363169886955,0
