r,mean,ci_low,ci_high,n,sign_flip_p,role
1.0,0.0,0.0,0.0,511,1.0,secondary
2.0,-0.018370089358347677,-0.02189146578579064,-0.014994590563817571,511,9.999000099990002e-05,secondary
5.0,-0.15865766979269913,-0.17265786097464178,-0.14461043243014868,511,9.999000099990002e-05,secondary
10.0,-0.41670826781394293,-0.4499209833436839,-0.38338971275517264,511,9.999000099990002e-05,secondary
