dataset,config,cost_ratio,n_subjects,singh_cost_at_crev025,singh_cost_at_crev05,singh_cost_at_crev1,singh_cost_at_crev2,bayes_tau_cost,C_star_rev,C_star_ci_2.5,C_star_ci_97.5,tau_star
SEUMLD,OADNet_text,1.0,76,0.26119553524943995,0.4231218150921585,0.7469743747775958,1.3946794941484704,0.3094055396183672,0.3244320261290421,0.25841266341307345,0.3908338379863771,0.5
SEUMLD,OADNet_text,2.0,76,0.29311299729171153,0.4550392771344301,0.7788918368198674,1.426596956190742,0.5421899814424083,0.6345530577134065,0.5585723365880192,0.710948617101228,0.3333333333333333
SEUMLD,OADNet_text,3.0,76,0.3250304593339831,0.4869567391767017,0.8108092988621389,1.4585144182330134,0.662456257433904,0.7709558918226054,0.7089318179474461,0.829444922762404,0.25
SEUMLD,OADNet_text,5.0,76,0.3888653834185263,0.550791663261245,0.8746442229466821,1.5223493423175567,0.7257842729932034,0.77017326943769,0.733882314800842,0.8049216615939537,0.16666666666666666
SEUMLD,OADNet_text,10.0,76,0.5484526936298841,0.7103789734726028,1.03423153315804,1.6819366525289146,0.780502425907955,0.6082644714981783,0.5182513073974473,0.6915486871313518,0.09090909090909091
SEUMLD,OADNet_audio,1.0,76,0.28273427337468,0.47624946517122707,0.8632798487643213,1.6373406159505095,0.3456002260631793,0.3312157847981693,0.2558620057537929,0.40644605235064113,0.5
SEUMLD,OADNet_audio,2.0,76,0.31080183275966033,0.5043170245562074,0.8913474081493016,1.66540817533549,0.6041091299238449,0.6289202470891204,0.5819118818923228,0.6809036812110904,0.3333333333333333
SEUMLD,OADNet_audio,3.0,76,0.3388693921446406,0.5323845839411877,0.9194149675342819,1.6934757347204703,0.6701913411968574,0.678030928704235,0.6280853524948561,0.7261455651166661,0.25
SEUMLD,OADNet_audio,5.0,76,0.3950045109146012,0.5885197027111483,0.9755500863042424,1.7496108534904309,0.6781401050843684,0.6157795436384174,0.5311076168244242,0.7051297494745234,0.16666666666666666
SEUMLD,OADNet_audio,10.0,76,0.5353423078395028,0.7288574996360498,1.115887883229144,1.8899486504153322,0.6558697306594986,0.40570795980027347,0.25,0.5654660998157062,0.09090909090909091
MDPE,OADNet_text,1.0,191,0.2641006683519926,0.4235215358437015,0.7423632708271194,1.3800467407939552,0.3776883810161928,0.42812554035642103,0.4179715618597469,0.4379508448661937,0.5
MDPE,OADNet_text,2.0,191,0.30382972589196106,0.46325059338367,0.782092328367088,1.4197757983339236,0.5498082097957565,0.6357375884568376,0.6212800730877616,0.650226112388197,0.3333333333333333
MDPE,OADNet_text,3.0,191,0.3435587834319296,0.5029796509236385,0.8218213859070563,1.4595048558738921,0.6326146903272917,0.7032905751977468,0.6840544969281588,0.7240648742607809,0.25
MDPE,OADNet_text,5.0,191,0.4230168985118666,0.5824377660035754,0.9012795009869934,1.5389629709538293,0.7132552688135861,0.7051448860934315,0.6759434731198515,0.7364206253023894,0.16666666666666666
MDPE,OADNet_text,10.0,191,0.6216621862117091,0.7810830537034179,1.099924788686836,1.7376082586536716,0.800397482007046,0.5302884255485445,0.4709695437508904,0.5928669584912054,0.09090909090909091
MDPE,OADNet_audio,1.0,191,0.2925746257697297,0.48585266809661015,0.8724087527503711,1.645520922057893,0.37738582884991445,0.3597010323303413,0.35316363997669725,0.36595091150682757,0.5
MDPE,OADNet_audio,2.0,191,0.32608555492414426,0.5193635972510248,0.9059196819047857,1.6790318512123077,0.6374975213309046,0.6528030844291233,0.6407101368351482,0.6648795122831854,0.3333333333333333
MDPE,OADNet_audio,3.0,191,0.3595964840785588,0.5528745264054393,0.9394306110592002,1.7125427803667221,0.6408000204248188,0.6137292847144477,0.6042483418791137,0.6226497410165236,0.25
MDPE,OADNet_audio,5.0,191,0.42661834238738794,0.6198963847142684,1.0064524693680292,1.7795646386755513,0.6301603180242861,0.5132761243678405,0.48084403256851654,0.5423652112081669,0.16666666666666666
MDPE,OADNet_audio,10.0,191,0.5941729881594607,0.7874510304863412,1.1740071151401021,1.9471192844476242,0.6245847340086925,0.2893367832723053,0.25,0.36600936715732174,0.09090909090909091
