dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Open-Domain,TFIDF_LR,10.0,1.0,0.1,511,subject,-0.2923738149217603,-0.21692307692307722,-0.32054379970974894,-0.2641204216146976,9.999000099990002e-05,1.6808311503604125e-62,89,417,5,81.60469667318982,
Open-Domain,TFIDF_LR,10.0,2.0,0.1,511,subject,-0.15775256098543763,-0.10999999999999988,-0.18270209565928733,-0.13247803855201104,9.999000099990002e-05,1.4935552067578314e-25,168,336,7,65.75342465753424,
Open-Domain,TFIDF_LR,1.0,0.25,0.2,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,0.5,0.2,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,1.0,0.2,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,2.0,0.2,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,2.0,0.25,0.2,511,subject,-0.016533080422512888,-0.012857142857142845,-0.01957511976770781,-0.013510244598845369,9.999000099990002e-05,1.4322006637528167e-20,176,301,34,58.9041095890411,
Open-Domain,TFIDF_LR,2.0,0.5,0.2,511,subject,0.0019500688483075931,0.004615384615384577,-0.0009547443044018427,0.004718439866287222,0.17668233176682333,0.038885212790663815,270,231,10,45.20547945205479,
Open-Domain,TFIDF_LR,2.0,1.0,0.2,511,subject,0.038916367389948574,0.034285714285714475,0.0357532454499186,0.04215883320853964,9.999000099990002e-05,1.0448132255926659e-66,423,59,29,11.545988258317024,
Open-Domain,TFIDF_LR,2.0,2.0,0.2,511,subject,0.11284896447323059,0.10571428571428587,0.10707045796126029,0.11869747046821406,9.999000099990002e-05,8.664139828839735e-84,501,0,10,0.0,
Open-Domain,TFIDF_LR,3.0,0.25,0.2,511,subject,-0.051739859292696824,-0.04166666666666652,-0.05759080434948827,-0.045979297914522925,9.999000099990002e-05,1.368055910964347e-47,124,382,5,74.75538160469667,
Open-Domain,TFIDF_LR,3.0,0.5,0.2,511,subject,-0.02591326199349682,-0.018461538461538418,-0.03130071882889886,-0.020438361953332596,9.999000099990002e-05,3.860681898686704e-16,186,320,5,62.62230919765166,9.999000099990002e-05
Open-Domain,TFIDF_LR,3.0,1.0,0.2,511,subject,0.02573993260490321,0.025714285714286023,0.020739883078434895,0.030782815314713507,9.999000099990002e-05,1.2886597159148588e-19,320,185,6,36.20352250489237,
Open-Domain,TFIDF_LR,3.0,2.0,0.2,511,subject,0.1290463218017034,0.1200000000000001,0.12200196028151016,0.13606618939877255,9.999000099990002e-05,3.3591665561292284e-84,497,9,5,1.761252446183953,
Open-Domain,TFIDF_LR,5.0,0.25,0.2,511,subject,-0.12963698858219402,-0.10250000000000004,-0.14132822429527422,-0.11816923763614075,9.999000099990002e-05,1.1896591003148755e-65,89,417,5,81.60469667318982,
