dataset,config,fold,seed,method,cost_ratio,C_rev,eps_hum,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.25,0.0,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.25,0.05,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,199.6,0.30566615620214393
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.25,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,221.2,0.33874425727411944
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.25,0.2,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,264.4,0.4049004594180704
SEUMLD,OADNet_text,0,7,singh_eps0,1.0,0.25,0.0,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,singh,1.0,0.25,0.05,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,199.6,0.30566615620214393
SEUMLD,OADNet_text,0,7,singh,1.0,0.25,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,221.2,0.33874425727411944
SEUMLD,OADNet_text,0,7,singh,1.0,0.25,0.2,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,264.4,0.4049004594180704
SEUMLD,OADNet_text,0,7,bayes_tau,1.0,0.25,0.0,0.5,0.5,653,431,222,0,653,653,0,0,53,167,55,378,0.12296983758700696,0.7522522522522522,0.0,1.0,1.0,,,,220.0,0.33690658499234305
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.5,0.0,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,286.0,0.43797856049004597
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.5,0.05,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,307.6,0.4710566615620215
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.5,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,329.2,0.5041347626339969
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.5,0.2,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,372.4,0.5702909647779479
SEUMLD,OADNet_text,0,7,singh_eps0,1.0,0.5,0.0,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,286.0,0.43797856049004597
SEUMLD,OADNet_text,0,7,singh,1.0,0.5,0.05,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,307.6,0.4710566615620215
SEUMLD,OADNet_text,0,7,singh,1.0,0.5,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,329.2,0.5041347626339969
SEUMLD,OADNet_text,0,7,singh,1.0,0.5,0.2,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,372.4,0.5702909647779479
SEUMLD,OADNet_text,0,7,bayes_tau,1.0,0.5,0.0,0.5,0.5,653,431,222,0,653,653,0,0,53,167,55,378,0.12296983758700696,0.7522522522522522,0.0,1.0,1.0,,,,220.0,0.33690658499234305
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,1.0,0.0,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,502.0,0.7687595712098009
