dataset,config,cost_ratio,C_rev,n_independent_subjects,mean_delta,median_delta,bootstrap_ci_2.5,bootstrap_ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct
SEUMLD,OADNet_text,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_text,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_text,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_text,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0
SEUMLD,OADNet_text,2.0,0.25,76,-0.0164953566437758,-0.006450719822812848,-0.026250663877528762,-0.007596439462789403,0.0006999300069993001,0.014701446525379771,0.48868297090314317,34,41,1,53.94736842105263
SEUMLD,OADNet_text,2.0,0.5,76,0.0037933397400515137,0.01111111111111111,-0.00593238027161318,0.013109245934174773,0.44385561443855615,0.1676183643083312,0.034415913668175036,46,27,3,35.526315789473685
SEUMLD,OADNet_text,2.0,1.0,76,0.04437073250770613,0.03527777777777776,0.03342315280968564,0.05587357230676076,9.999000099990002e-05,1.3883899217372605e-09,3.108521862394645e-10,64,11,1,14.473684210526317
SEUMLD,OADNet_text,2.0,2.0,76,0.12552551804301534,0.11293199554069117,0.10708998446120237,0.1448287503836199,9.999000099990002e-05,5.277723688941049e-14,5.293955920339377e-23,75,0,1,0.0
SEUMLD,OADNet_text,3.0,0.25,76,-0.04149695460831675,-0.018541456016177946,-0.059466865309677666,-0.02482519151872073,9.999000099990002e-05,0.000543237931711331,0.13538510529943087,31,45,0,59.210526315789465
SEUMLD,OADNet_text,3.0,0.5,76,-0.014243486221701497,0.005103359173126598,-0.03209854217033615,0.002707174927424713,0.11858814118588142,0.5760552871645692,0.566573442398685,41,35,0,46.05263157894737
SEUMLD,OADNet_text,3.0,1.0,76,0.040263450551528995,0.04949443882709807,0.021359548494139992,0.05937622164903058,9.999000099990002e-05,0.0002118744260562507,0.0007645817391550476,53,23,0,30.263157894736842
