dataset,config,fold,seed,method,cost_ratio,C_rev,alpha_truth,alpha_lie,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,empty_set_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,split_conformal,1.0,0.25,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,172.0,0.26339969372128635
SEUMLD,OADNet_text,0,7,split_conformal,1.0,0.5,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,split_conformal,1.0,1.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,469.0,0.7182235834609495
SEUMLD,OADNet_text,0,7,split_conformal,1.0,2.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,865.0,1.324655436447167
SEUMLD,OADNet_text,0,7,split_conformal,2.0,0.25,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,227.0,0.34762633996937214
SEUMLD,OADNet_text,0,7,split_conformal,2.0,0.5,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,326.0,0.4992343032159265
SEUMLD,OADNet_text,0,7,split_conformal,2.0,1.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,524.0,0.8024502297090352
SEUMLD,OADNet_text,0,7,split_conformal,2.0,2.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,920.0,1.4088820826952526
SEUMLD,OADNet_text,0,7,split_conformal,3.0,0.25,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,282.0,0.4318529862174579
SEUMLD,OADNet_text,0,7,split_conformal,3.0,0.5,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,381.0,0.5834609494640123
SEUMLD,OADNet_text,0,7,split_conformal,3.0,1.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,579.0,0.886676875957121
SEUMLD,OADNet_text,0,7,split_conformal,3.0,2.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,975.0,1.4931087289433385
SEUMLD,OADNet_text,0,7,split_conformal,5.0,0.25,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,392.0,0.6003062787136294
SEUMLD,OADNet_text,0,7,split_conformal,5.0,0.5,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,491.0,0.7519142419601837
SEUMLD,OADNet_text,0,7,split_conformal,5.0,1.0,0.1,0.1,0.8366016745567322,0.8366016745567322,653,431,222,396,257,257,0,396,18,55,23,161,0.04176334106728538,0.24774774774774774,0.6064318529862175,0.0,0.39356814701378257,0.39356814701378257,0.888208269525268,0.9582366589327146,0.7522522522522522,689.0,1.0551301684532925
