dataset,config,cost_ratio,C_rev,cs_mondrian,mondrian,delta_cost
MDPE,OADNet_audio,1.0,0.25,0.2925746257697297,0.2925746257697297,0.0
MDPE,OADNet_audio,1.0,0.5,0.48585266809661015,0.48585266809661015,0.0
MDPE,OADNet_audio,1.0,1.0,0.8724087527503711,0.8724087527503711,0.0
MDPE,OADNet_audio,1.0,2.0,1.645520922057893,1.645520922057893,0.0
MDPE,OADNet_audio,2.0,0.25,0.3098400010490761,0.32608555492414426,-0.016245553875068153
MDPE,OADNet_audio,2.0,0.5,0.5148557083245138,0.5193635972510248,-0.0045078889265109945
MDPE,OADNet_audio,2.0,1.0,0.9248871228753889,0.9059196819047857,0.01896744097060321
MDPE,OADNet_audio,2.0,2.0,1.7449499519771394,1.6790318512123077,0.06591810076483173
MDPE,OADNet_audio,3.0,0.25,0.3159811676509796,0.3595964840785588,-0.04361531642757921
MDPE,OADNet_audio,3.0,0.5,0.5258207714305237,0.5528745264054393,-0.027053754974915578
MDPE,OADNet_audio,3.0,1.0,0.9454999789896119,0.9394306110592002,0.006069367930411684
MDPE,OADNet_audio,3.0,2.0,1.7848583941077882,1.7125427803667221,0.0723156137410661
MDPE,OADNet_audio,5.0,0.25,0.32423111353221984,0.42661834238738794,-0.1023872288551681
MDPE,OADNet_audio,5.0,0.5,0.5378665494682887,0.6198963847142684,-0.08202983524597973
MDPE,OADNet_audio,5.0,1.0,0.9651374213404265,1.0064524693680292,-0.041315048027602774
MDPE,OADNet_audio,5.0,2.0,1.8196791650847017,1.7795646386755513,0.040114526409150475
MDPE,OADNet_audio,10.0,0.25,0.343073296455463,0.5941729881594607,-0.25109969170399776
MDPE,OADNet_audio,10.0,0.5,0.5594737173549806,0.7874510304863412,-0.2279773131313606
MDPE,OADNet_audio,10.0,1.0,0.9922745591540157,1.1740071151401021,-0.1817325559860864
MDPE,OADNet_audio,10.0,2.0,1.8578762427520863,1.9471192844476242,-0.08924304169553787
MDPE,OADNet_text,1.0,0.25,0.2641006683519926,0.2641006683519926,0.0
MDPE,OADNet_text,1.0,0.5,0.4235215358437015,0.4235215358437015,0.0
MDPE,OADNet_text,1.0,1.0,0.7423632708271194,0.7423632708271194,0.0
MDPE,OADNet_text,1.0,2.0,1.3800467407939552,1.3800467407939552,0.0
