source,fold,seed,r,B,arm,feasible,alpha_truth,alpha_lie,candidate_a,alpha_bar_raw,alpha_bar_snapped,snap_error,sel_reject_rate,sel_cost,sel_feasible,degenerate,q_truth_final,q_lie_final,n_test,n_truth,n_lie,n_reject,n_fp,n_fn,reject_rate,expected_cost,fp_per_sample,fn_per_sample,rej_truth_rate,rej_lie_rate,mean_set_size,cost_decomp_residual,budget_violation
SEUMLD_OADNet_text,0,7,3.0,0.6,cs,0,0.3,0.09999999999999999,0.3,,,,0.6928571428571428,0.5,0,0,0.3844022750854492,0.8926396146416664,653,431,222,333,71,47,0.5099540581929556,0.5796324655436447,0.10872894333843798,0.07197549770290965,0.5197215777262181,0.49099099099099097,1.5099540581929556,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.6,uni,1,0.2,0.2,0.2,,,,0.525,0.5339285714285714,1,0,0.3904690146446228,0.7858311086893082,653,431,222,272,71,62,0.4165390505359878,0.6018376722817764,0.10872894333843798,0.09494640122511486,0.41067285382830626,0.42792792792792794,1.4165390505359878,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.6,free2d,1,0.05,0.25,,,,,0.575,0.5803571428571429,1,0,0.9191657304763794,0.7552442997694016,653,431,222,354,5,74,0.5421133231240429,0.6186830015313936,0.007656967840735069,0.11332312404287902,0.4918793503480278,0.6396396396396397,1.542113323124043,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.6,match,1,0.25,0.25,0.3,0.2257142857142857,0.25,0.0242857142857143,0.4928571428571429,0.5714285714285714,1,0,0.3844022750854492,0.7552442997694016,653,431,222,228,71,74,0.34915773353751917,0.6232771822358346,0.10872894333843798,0.11332312404287902,0.33874709976798145,0.36936936936936937,1.349157733537519,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.7,cs,1,0.3,0.09999999999999999,0.3,,,,0.6928571428571428,0.5,1,0,0.3844022750854492,0.8926396146416664,653,431,222,333,71,47,0.5099540581929556,0.5796324655436447,0.10872894333843798,0.07197549770290965,0.5197215777262181,0.49099099099099097,1.5099540581929556,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.7,uni,1,0.1,0.1,0.1,,,,0.6928571428571428,0.5,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.5712098009188361,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.7,free2d,1,0.1,0.1,,,,,0.6928571428571428,0.5,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.5712098009188361,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.7,match,1,0.25,0.25,0.3,0.2257142857142857,0.25,0.0242857142857143,0.4928571428571429,0.5714285714285714,1,0,0.3844022750854492,0.7552442997694016,653,431,222,228,71,74,0.34915773353751917,0.6232771822358346,0.10872894333843798,0.11332312404287902,0.33874709976798145,0.36936936936936937,1.349157733537519,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.8,cs,1,0.15,0.049999999999999996,0.15,,,,0.7928571428571428,0.49642857142857144,1,0,0.5254870057106018,0.9466024748980999,653,431,222,441,48,23,0.6753445635528331,0.5168453292496171,0.07350689127105667,0.03522205206738132,0.6821345707656613,0.6621621621621622,1.675344563552833,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.8,uni,1,0.1,0.1,0.1,,,,0.6928571428571428,0.5,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.5712098009188361,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.8,free2d,1,0.1,0.05,,,,,0.7928571428571428,0.49642857142857144,1,0,0.6858256459236145,0.9466024748980999,653,431,222,483,26,23,0.7396630934150077,0.5153139356814701,0.039816232771822356,0.03522205206738132,0.7331786542923434,0.7522522522522522,1.7396630934150077,0.0,0
SEUMLD_OADNet_text,0,7,3.0,0.8,match,1,0.1,0.1,0.15,0.11285714285714285,0.1,0.012857142857142845,0.6928571428571428,0.5,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.5712098009188361,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.6,cs,0,0.3,0.15,0.3,,,,0.6321428571428571,0.4732142857142857,0,0,0.3844022750854492,0.8394089937210083,653,431,222,301,71,55,0.4609494640122512,0.5076569678407351,0.10872894333843798,0.08422664624808576,0.46403712296983757,0.45495495495495497,1.4609494640122511,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.6,uni,1,0.2,0.2,0.2,,,,0.525,0.4625,1,0,0.3904690146446228,0.7858311086893082,653,431,222,272,71,62,0.4165390505359878,0.5068912710566615,0.10872894333843798,0.09494640122511486,0.41067285382830626,0.42792792792792794,1.4165390505359878,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.7,cs,1,0.2,0.1,0.2,,,,0.6928571428571428,0.46785714285714286,1,0,0.3904690146446228,0.8926396146416664,653,431,222,334,71,47,0.5114854517611026,0.5084226646248086,0.10872894333843798,0.07197549770290965,0.5197215777262181,0.4954954954954955,1.5114854517611025,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.7,uni,1,0.1,0.1,0.1,,,,0.6928571428571428,0.46785714285714286,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.4992343032159265,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.8,cs,1,0.1,0.05,0.1,,,,0.7928571428571428,0.48214285714285715,1,0,0.6858256459236145,0.9466024748980999,653,431,222,483,26,23,0.7396630934150077,0.48009188361408883,0.039816232771822356,0.03522205206738132,0.7331786542923434,0.7522522522522522,1.7396630934150077,0.0,0
SEUMLD_OADNet_text,0,7,2.0,0.8,uni,1,0.1,0.1,0.1,,,,0.6928571428571428,0.46785714285714286,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.4992343032159265,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
SEUMLD_OADNet_text,0,7,5.0,0.6,cs,0,0.3,0.06,0.3,,,,0.7857142857142857,0.5392857142857143,0,0,0.3844022750854492,0.9311169683933258,653,431,222,375,71,31,0.5742725880551302,0.6332312404287902,0.10872894333843798,0.04747320061255743,0.580046403712297,0.5630630630630631,1.5742725880551303,0.0,0
SEUMLD_OADNet_text,0,7,5.0,0.6,uni,1,0.2,0.2,0.2,,,,0.525,0.6767857142857143,1,0,0.3904690146446228,0.7858311086893082,653,431,222,272,71,62,0.4165390505359878,0.7917304747320061,0.10872894333843798,0.09494640122511486,0.41067285382830626,0.42792792792792794,1.4165390505359878,0.0,0
SEUMLD_OADNet_text,0,7,5.0,0.7,cs,0,0.3,0.06,0.3,,,,0.7857142857142857,0.5392857142857143,0,0,0.3844022750854492,0.9311169683933258,653,431,222,375,71,31,0.5742725880551302,0.6332312404287902,0.10872894333843798,0.04747320061255743,0.580046403712297,0.5630630630630631,1.5742725880551303,0.0,0
SEUMLD_OADNet_text,0,7,5.0,0.7,uni,1,0.1,0.1,0.1,,,,0.6928571428571428,0.5642857142857143,1,0,0.6858256459236145,0.8926396146416664,653,431,222,412,26,47,0.6309341500765697,0.7151607963246555,0.039816232771822356,0.07197549770290965,0.6241299303944315,0.6441441441441441,1.6309341500765697,0.0,0
