dataset,config,fold,seed,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_q_truth,test_q_lie,a,alpha_truth,alpha_lie,sel_reject,sel_fn,sel_fp,sel_expected_cost,sel_q_truth,sel_q_lie,selected
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.05,0.05,0.016666666666666666,0.9071428571428571,0.0,0.03977272727272727,0.4785714285714286,0.618990421295166,0.9823435824364424,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.075,0.075,0.024999999999999998,0.8607142857142858,0.009615384615384616,0.06818181818181818,0.48392857142857143,0.45753055810928345,0.9821432009339333,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.1,0.1,0.03333333333333333,0.8178571428571428,0.019230769230769232,0.09090909090909091,0.4875,0.3844022750854492,0.9798090439289808,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.15,0.15,0.049999999999999996,0.7928571428571428,0.038461538461538464,0.09090909090909091,0.49642857142857144,0.3844022750854492,0.9750066045671701,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.2,0.2,0.06666666666666667,0.7821428571428571,0.057692307692307696,0.09090909090909091,0.5125,0.3844022750854492,0.9729701019823551,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.25,0.25,0.08333333333333333,0.7678571428571429,0.0673076923076923,0.09090909090909091,0.5160714285714286,0.3844022750854492,0.9709675926715136,0
SEUMLD,OADNet_text,0,7,3.0,0.5,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.3,0.3,0.09999999999999999,0.6928571428571428,0.08653846153846154,0.09090909090909091,0.5,0.3844022750854492,0.9604747109115124,1
SEUMLD,OADNet_text,0,7,3.0,0.6,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.05,0.05,0.016666666666666666,0.9071428571428571,0.0,0.03977272727272727,0.4785714285714286,0.618990421295166,0.9823435824364424,0
SEUMLD,OADNet_text,0,7,3.0,0.6,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.075,0.075,0.024999999999999998,0.8607142857142858,0.009615384615384616,0.06818181818181818,0.48392857142857143,0.45753055810928345,0.9821432009339333,0
SEUMLD,OADNet_text,0,7,3.0,0.6,False,0.3,0.09999999999999999,0.3844022750854492,0.8926396146416664,0.1,0.1,0.03333333333333333,0.8178571428571428,0.019230769230769232,0.09090909090909091,0.4875,0.3844022750854492,0.9798090439289808,0
